difficulty,answering_llm,judge_llm,score,nickname,Talk
Hard,openai,Audience,6,gerold,Talk1
Hard,perplexity,Audience,3,gerold,Talk1
Easy,openai,Audience,6,DaniH,Talk1
Easy,perplexity,Audience,4,DaniH,Talk1
Easy,openai,Audience,8,Chris,Talk1
Easy,perplexity,Audience,5,Chris,Talk1
Easy,openai,Audience,6,DaniH,Talk1
Easy,perplexity,Audience,5,DaniH,Talk1
Easy,openai,Audience,8,DEIMANTĖ ,Talk1
Easy,perplexity,Audience,6,DEIMANTĖ ,Talk1
Easy,openai,Audience,6,Chris,Talk1
Easy,perplexity,Audience,6,Chris,Talk1
Easy,openai,Audience,6,Chris,Talk1
Easy,perplexity,Audience,6,Chris,Talk1
Easy,openai,Audience,8,DEIMANTĖ ,Talk1
Easy,perplexity,Audience,6,DEIMANTĖ ,Talk1
Easy,openai,Audience,8,DEIMANTĖ ,Talk1
Easy,perplexity,Audience,6,DEIMANTĖ ,Talk1
Easy,openai,Audience,5,Chris,Talk1
Easy,perplexity,Audience,5,Chris,Talk1
Easy,openai,Audience,5,suu,Talk1
Easy,perplexity,Audience,6,suu,Talk1
Easy,openai,Audience,5,Small brain ,Talk6
Easy,perplexity,Audience,6,Small brain ,Talk6
Easy,openai,Audience,8,DEIMANTĖ,Talk6
Easy,perplexity,Audience,9,DEIMANTĖ,Talk6
Easy,openai,Audience,8,DEIMANTĖ,Talk6
Easy,perplexity,Audience,9,DEIMANTĖ,Talk6
Hard,openai,Audience,8,CB,Talk3
Hard,perplexity,Audience,7,CB,Talk3
Easy,openai,Audience,5,TN,Talk6
Easy,perplexity,Audience,9,TN,Talk6
Easy,openai,Audience,4,TN,Talk6
Easy,perplexity,Audience,8,TN,Talk6
Easy,openai,Audience,6,TN,Talk6
Easy,perplexity,Audience,9,TN,Talk6
Easy,openai,Audience,8,Luis,Talk6
Easy,perplexity,Audience,6,Luis,Talk6
Hard,openai,Audience,3,eda,Talk6
Hard,perplexity,Audience,8,eda,Talk6
Easy,openai,Audience,6,Chris,Talk3
Easy,perplexity,Audience,8,Chris,Talk3
Easy,openai,Audience,7,Katha,Talk1
Easy,perplexity,Audience,9,Katha,Talk1
Easy,openai,Audience,8,DEIMANTĖ,Talk6
Easy,perplexity,Audience,9,DEIMANTĖ,Talk6
Easy,openai,Audience,7,Snps ,Talk6
Easy,perplexity,Audience,8,Snps ,Talk6
Easy,openai,Audience,8,DEIMANTĖ,Talk6
Easy,perplexity,Audience,9,DEIMANTĖ,Talk6
Hard,openai,Audience,7,DEIMANTĖ ,Talk6
Hard,perplexity,Audience,9,DEIMANTĖ ,Talk6
Easy,openai,Audience,8,DEIMANTĖ,Talk6
Easy,perplexity,Audience,10,DEIMANTĖ,Talk6
Hard,openai,Audience,7,DEIMANTĖ ,Talk6
Hard,perplexity,Audience,9,DEIMANTĖ ,Talk6
Hard,openai,Audience,1,Snps,Talk4
Hard,perplexity,Audience,1,Snps,Talk4
Easy,openai,Audience,8,Ale28,Talk6
Easy,perplexity,Audience,7,Ale28,Talk6
Easy,openai,Audience,8,Ale28,Talk6
